|id|name|address_name|address_comment|lat|lon|rubrics|review_point|review_count
6244|70000001048776946|Most Coffee, кофейня|Кожевенная линия, 40|1 этаж|59.924631|30.241713|['Кофейни', 'Продажа кофе']|4.4|166
6245|70000001033238274|L Terrasa, бар|переулок Антоненко, 2|мансардный этаж|59.931362|30.310334|['Бары']|4.9|59
6246|70000001057265860|Мостъ, ресторан|Садовая улица, 62|1 этаж|59.921162|30.303534|['Рестораны']|4.6|103
6247|70000001064585429|Невские Мосты|набережная канала Грибоедова, 5|304 офис; 3 этаж|59.939809|30.327764|['Туроператоры', 'Организация экскурсий по городу']|4.3|18
6248|5348660212842853|Аничков мост, причал|набережная реки Фонтанки, 27а|Нет|59.933837|30.34319|['Достопримечательности']|5.0|7034
6249|70000001044767052|Аничков мост, дополнительный офис|Невский проспект, 68а|1 этаж|59.933291|30.344674|['Банки']|4.4|17
6250|70000001081123982|У Красного Моста. Au Pont Rouge, универмаг|Гороховая, 15|2-3 этаж|59.933221|30.314693|['Мужская одежда', 'Женская одежда', 'Верхняя одежда', 'Обувные магазины', 'Сумки / Кожгалантерея']|4.2|5
6251|70000001029778419|Три моста, салон красоты|набережная реки Мойки, 3|1 этаж|59.942753|30.326976|['Ногтевые студии', 'Парикмахерские', 'Студии загара', 'Услуги косметолога', 'Услуги визажиста']|4.8|44
6252|70000001045100883|Красный мост, управляющая компания|набережная реки Мойки, 75-79 лит В|1 этаж; домофон 4|59.932832|30.312912|['Жилищно-коммунальные услуги']|0.0|11
6253|70000001035766923|Siniy Most, бар|переулок Антоненко, 2|1 этаж|59.931362|30.310334|['Бары']|4.7|8
6254|5348552838595331|Троицкий мост, вегетарианское кафе|Каменноостровский проспект, 9|1 этаж|59.958151|30.319551|['Кафе', 'Доставка готовых блюд']|4.3|179
6255|70000001077034176|Мост, автомойка|мост Александра Невского, 1 лит А|Нет|59.926787|30.401817|['Автомойки', 'Хранение шин', 'Детейлинг']|4.1|69
6256|70000001046196351|Мосты, центр психологической поддержки|Большая Московская, 14/1|1 этаж|59.925616|30.346475|['Услуги психолога', 'Услуги психотерапевта', 'Личностные тренинги / семинары', 'Психологическая помощь в избавлении от зависимостей']|4.2|5
6257|70000001028384646|Most Interior. Photorgraphy. Gifts, галерея авторской фотографии|Комиссара Смирнова, 15|1 этаж|59.962957|30.348344|['Дизайн интерьеров', 'Багетные мастерские']|4.1|2
6258|70000001042684979|Крымские чебуреки, кафе быстрого питания|8-я линия В.О., 49|1 этаж|59.942944|30.275698|['Быстрое питание', 'Доставка готовых блюд']|4.9|541
6259|70000001028937223|Чабрец, ресторан|Тихорецкий проспект, 43 лит А|1-2 этаж|60.031601|30.366007|['Рестораны', 'Банкетные залы', 'Доставка готовых блюд', 'Караоке-залы', 'Суши-бары']|4.6|1702
6260|70000001021675068|Фиш&Чипс, рестопаб|Восстания, 34|цокольный этаж|59.940817|30.360338|['Кафе', 'Бары']|4.5|499
6261|70000001034391996|Старый Тбилиси, ресторан|Невский проспект, 91|цокольный этаж|59.930417|30.36492|['Рестораны', 'Доставка готовых блюд']|4.7|809
6262|70000001025974872|Хачапури&Хинкали, кафе|улица Коллонтай, 12 к1|2 этаж|59.917364|30.457707|['Кафе', 'Доставка готовых блюд']|4.4|310
6263|5348552838498181|Тбилисо, ресторан кавказской кухни|Сытнинская улица, 10|1 этаж|59.95772|30.308029|['Рестораны', 'Доставка готовых блюд']|4.8|979
6264|70000001035684248|Пхали-хинкали, ресторан грузинской кухни|Кузнецовская, 22|1 этаж|59.871847|30.309864|['Рестораны', 'Доставка готовых блюд', 'Банкетные залы']|4.8|1648
6265|70000001055575617|Счастливые люди, кофейня|Парфёновская, 9 к1|1 этаж|59.899712|30.311093|['Быстрое питание', 'Доставка готовых блюд']|4.1|77
6266|70000001037259848|Афрасиаб, кафе|Свечной переулок, 27|1 этаж|59.923731|30.355239|['Кафе', 'Доставка готовых блюд']|4.3|220
6267|70000001066156236|Брынза, чебуречная|Большая Монетная, 21/9|1 этаж|59.962265|30.321614|['Кафе', 'Доставка готовых блюд']|4.5|239
6268|70000001044719060|Мама на даче, семейный ресторан домашней кухни|Невский проспект, 106|1-2 этаж|59.931732|30.356891|['Рестораны', 'Бары', 'Доставка готовых блюд']|4.6|3666
6269|70000001038087414|Пхали-хинкали, ресторан грузинской кухни|8-я Советская улица, 14|1 этаж|59.937085|30.37306|['Кафе', 'Рестораны', 'Доставка готовых блюд']|4.8|2386
6270|5348552838539972|Охота на Енота|Комендантская площадь, 1 лит А|5 этаж|60.007419|30.259404|['Рестораны', 'Доставка готовых блюд']|4.4|359
6271|70000001018318529|Мама на даче, семейный ресторан домашней кухни|Невский проспект, 88|1 этаж|59.932429|30.351325|['Рестораны', 'Доставка готовых блюд']|4.5|2763
